project_id,sector,state,sanctioned_cost,sanctioned_date,original_end_date,duration_months,target_cost_overrun_pct,real_state_overrun_july,real_sector_overrun_pct,real_state_drift_pp_month
PRJ-0225,Roads & Highways,Maharashtra,1193.65,2026-02-06,2035-11-06,117,13.283,12.366,1.73,-2.098
PRJ-0226,Roads & Highways,Tamil Nadu,1693.17,2026-02-16,2035-11-16,117,9.122,0.764,1.73,-0.572
PRJ-0227,Healthcare,Jharkhand,202.55,2026-02-18,2034-10-18,104,2.688,-17.585,20.66,-4.6
PRJ-0228,Railways,Telangana,2718.03,2026-02-28,2029-02-28,36,3.485,-22.597,37.14,-9.117
PRJ-0229,Railways,Meghalaya,437.5,2026-02-13,2035-05-13,111,-4.386,-46.806,37.14,-10.697
PRJ-0230,Roads & Highways,Maharashtra,1007.38,2026-02-04,2031-10-04,68,7.123,12.366,1.73,-2.098
PRJ-0231,Roads & Highways,Madhya Pradesh,549.55,2026-02-06,2028-10-06,32,-10.923,-8.492,1.73,-2.506
PRJ-0232,Electricity Generation,Sikkim,13169.38,2026-02-25,2035-08-25,114,-8.152,-36.961,12.9,-13.156
PRJ-0233,Water Resources,Assam,2882.66,2026-02-19,2029-09-19,43,48.811,-6.798,104.29,-7.331
PRJ-0234,Water Resources,Karnataka,2648.05,2026-02-10,2035-08-10,114,22.808,-17.416,104.29,-5.504
PRJ-0235,Education,Odisha,786.55,2026-02-11,2029-04-11,38,-12.783,-14.368,-3.03,-4.448
PRJ-0236,Transmission & Distribution,Maharashtra,4262.99,2026-02-15,2035-06-15,112,12.538,12.366,3.02,-2.098
PRJ-0237,Roads & Highways,Assam,2028.73,2026-02-04,2034-07-04,101,9.992,-6.798,1.73,-7.331
PRJ-0238,Roads & Highways,Manipur,1730.03,2026-02-18,2030-11-18,57,-25.222,-34.668,1.73,-11.403
PRJ-0239,Roads & Highways,Maharashtra,839.63,2026-02-12,2035-09-12,115,8.279,12.366,1.73,-2.098
PRJ-0240,Waste & Water,Uttar Pradesh,196.02,2026-02-05,2029-07-05,41,10.226,2.185,1.27,-3.086
PRJ-0241,Roads & Highways,Telangana,1489.06,2026-02-21,2031-08-21,66,-7.339,-22.597,1.73,-9.117
PRJ-0242,Roads & Highways,Odisha,356.85,2026-02-15,2035-08-15,114,-13.503,-14.368,1.73,-4.448
PRJ-0243,Roads & Highways,Maharashtra,161.62,2026-02-03,2032-04-03,74,7.611,12.366,1.73,-2.098
PRJ-0244,Roads & Highways,Bihar,1181.99,2026-02-21,2032-01-21,71,-0.733,-13.584,1.73,-3.536
PRJ-0245,Roads & Highways,Chhattisgarh,1133.0,2026-02-17,2032-11-17,81,-3.901,-22.042,1.73,-5.836
PRJ-0246,Roads & Highways,Nagaland,666.92,2026-02-21,2036-01-21,119,-12.749,-37.566,1.73,-8.949
PRJ-0247,Roads & Highways,Odisha,751.04,2026-02-26,2028-07-26,29,-4.869,-14.368,1.73,-4.448
PRJ-0248,Railways,Madhya Pradesh,2580.53,2026-02-09,2031-07-09,65,9.076,-8.492,37.14,-2.506
PRJ-0249,Roads & Highways,Telangana,616.36,2026-02-20,2030-11-20,57,-10.722,-22.597,1.73,-9.117
PRJ-0250,Oil & Gas,Uttar Pradesh,4079.71,2026-02-02,2031-01-02,59,7.657,2.185,8.97,-3.086
PRJ-0251,Telecommunication,Goa,2314.28,2026-02-10,2034-01-10,95,-41.396,-31.785,-35.41,-6.752
PRJ-0252,Railways,Bihar,629.58,2026-02-07,2029-02-07,36,13.456,-13.584,37.14,-3.536
PRJ-0253,Roads & Highways,Uttar Pradesh,397.15,2026-02-23,2035-04-23,110,1.026,2.185,1.73,-3.086
PRJ-0254,Coal,Kerala,2250.44,2026-02-06,2029-04-06,38,-6.357,-26.921,-1.1,-8.051
PRJ-0255,Oil & Gas,Assam,2450.23,2026-02-22,2035-03-22,109,1.489,-6.798,8.97,-7.331
PRJ-0256,Railways,West Bengal,2720.44,2026-02-07,2030-12-07,58,-5.811,-20.715,37.14,-5.985
PRJ-0257,Roads & Highways,Tamil Nadu,500.49,2026-02-05,2030-07-05,53,1.014,0.764,1.73,-0.572
PRJ-0258,Roads & Highways,Bihar,477.49,2026-02-04,2028-08-04,30,-14.082,-13.584,1.73,-3.536
PRJ-0259,Aviation & Aviation Infrastructure,Chhattisgarh,586.95,2026-02-10,2034-09-10,103,-17.642,-22.042,6.68,-5.836
PRJ-0260,Railways,Odisha,3296.23,2026-02-21,2030-12-21,58,8.217,-14.368,37.14,-4.448
PRJ-0261,Roads & Highways,Madhya Pradesh,1030.72,2026-02-11,2030-01-11,47,-4.662,-8.492,1.73,-2.506
PRJ-0262,Metals & Mining,Odisha,487.14,2026-02-26,2029-02-26,36,11.816,-14.368,42.87,-4.448
PRJ-0263,Roads & Highways,Karnataka,2091.88,2026-02-18,2029-12-18,46,-8.496,-17.416,1.73,-5.504
PRJ-0264,Roads & Highways,Rajasthan,182.87,2026-02-13,2033-04-13,86,-7.963,4.92,1.73,-7.926
PRJ-0265,Roads & Highways,Madhya Pradesh,1818.79,2026-02-22,2035-04-22,110,-5.533,-8.492,1.73,-2.506
PRJ-0266,Waste & Water,Bihar,490.5,2026-02-14,2028-09-14,31,-8.664,-13.584,1.27,-3.536
PRJ-0267,Roads & Highways,West Bengal,473.29,2026-02-28,2031-05-28,63,-9.88,-20.715,1.73,-5.985
PRJ-0268,Railways,Assam,887.93,2026-02-22,2028-12-22,34,5.021,-6.798,37.14,-7.331
PRJ-0269,Coal,Maharashtra,2656.72,2026-02-04,2036-02-04,120,16.078,12.366,-1.1,-2.098
PRJ-0270,Roads & Highways,Andhra Pradesh,826.01,2026-02-13,2031-04-13,62,-2.178,-3.734,1.73,-5.906
PRJ-0271,Roads & Highways,Delhi,1207.02,2026-02-07,2030-11-07,57,-1.999,3.547,1.73,0.072
PRJ-0272,Roads & Highways,Punjab,764.57,2026-02-02,2029-08-02,42,-21.429,-29.625,1.73,-7.508
PRJ-0273,Roads & Highways,Manipur,1512.5,2026-02-07,2034-10-07,104,-23.879,-34.668,1.73,-11.403
PRJ-0274,Roads & Highways,Manipur,1035.41,2026-02-09,2034-08-09,102,-20.984,-34.668,1.73,-11.403
PRJ-0275,Roads & Highways,Gujarat,650.48,2026-02-10,2033-07-10,89,-1.069,8.533,1.73,-3.068
PRJ-0276,Roads & Highways,Madhya Pradesh,367.36,2026-02-20,2035-11-20,117,-3.431,-8.492,1.73,-2.506
PRJ-0277,Coal,Gujarat,1592.61,2026-02-21,2030-02-21,48,3.36,8.533,-1.1,-3.068
PRJ-0278,Roads & Highways,Andhra Pradesh,1764.94,2026-02-11,2034-11-11,105,-9.123,-3.734,1.73,-5.906
PRJ-0279,Roads & Highways,Bihar,868.52,2026-02-21,2036-02-21,120,-5.384,-13.584,1.73,-3.536
PRJ-0280,Roads & Highways,Madhya Pradesh,359.98,2026-02-05,2034-08-05,102,-8.622,-8.492,1.73,-2.506
PRJ-0281,Roads & Highways,Haryana,724.36,2026-02-13,2031-02-13,60,11.621,8.788,1.73,-7.806
PRJ-0282,Roads & Highways,Jharkhand,614.53,2026-02-04,2031-12-04,70,-18.319,-17.585,1.73,-4.6
PRJ-0283,Roads & Highways,Uttar Pradesh,1098.57,2026-02-03,2036-01-03,119,4.718,2.185,1.73,-3.086
PRJ-0284,Coal,Andhra Pradesh,3166.9,2026-02-12,2030-01-12,47,-9.086,-3.734,-1.1,-5.906
PRJ-0285,Roads & Highways,Tamil Nadu,2150.54,2026-02-07,2031-11-07,69,-7.38,0.764,1.73,-0.572
PRJ-0286,Roads & Highways,Madhya Pradesh,756.21,2026-02-18,2030-06-18,52,-3.232,-8.492,1.73,-2.506
PRJ-0287,Roads & Highways,Gujarat,998.01,2026-02-01,2030-03-01,49,4.297,8.533,1.73,-3.068
PRJ-0288,Electricity Generation,Rajasthan,3436.23,2026-02-18,2035-09-18,115,11.305,4.92,12.9,-7.926
PRJ-0289,Coal,Mizoram,1650.49,2026-02-13,2031-04-13,62,-32.039,-45.063,-1.1,-10.188
PRJ-0290,Roads & Highways,Tamil Nadu,1877.76,2026-02-07,2034-05-07,99,8.203,0.764,1.73,-0.572
PRJ-0291,Real Estate,Andhra Pradesh,6902.53,2026-02-16,2034-12-16,106,7.35,-3.734,0.12,-5.906
PRJ-0292,Roads & Highways,Tamil Nadu,942.35,2026-02-04,2030-07-04,53,-3.834,0.764,1.73,-0.572
PRJ-0293,Roads & Highways,Karnataka,1707.68,2026-02-02,2034-05-02,99,-3.25,-17.416,1.73,-5.504
PRJ-0294,Telecommunication,Bihar,9038.57,2026-02-05,2035-03-05,109,-23.537,-13.584,-35.41,-3.536
PRJ-0295,Roads & Highways,Uttar Pradesh,388.91,2026-02-09,2034-02-09,96,-0.762,2.185,1.73,-3.086
PRJ-0296,Education,Uttar Pradesh,465.76,2026-02-24,2032-02-24,72,-0.616,2.185,-3.03,-3.086
PRJ-0297,Roads & Highways,Rajasthan,1313.41,2026-02-09,2034-06-09,100,0.604,4.92,1.73,-7.926
PRJ-0298,Roads & Highways,Nagaland,1201.93,2026-02-13,2033-07-13,89,-23.266,-37.566,1.73,-8.949
PRJ-0299,Roads & Highways,Jharkhand,3986.91,2026-02-11,2035-11-11,117,-5.348,-17.585,1.73,-4.6
PRJ-0300,Railways,Uttarakhand,4994.73,2026-02-07,2030-12-07,58,-6.052,-33.821,37.14,-10.563
PRJ-0301,Urban Public Transport,Chhattisgarh,12667.25,2026-02-15,2028-11-15,33,-9.562,-22.042,5.8,-5.836
PRJ-0302,Roads & Highways,Maharashtra,1032.44,2026-02-22,2034-06-22,100,7.575,12.366,1.73,-2.098
PRJ-0303,Waste & Water,Odisha,612.89,2026-02-09,2030-07-09,53,-9.477,-14.368,1.27,-4.448
PRJ-0304,Oil & Gas,Andhra Pradesh,1618.45,2026-02-26,2033-05-26,87,-3.008,-3.734,8.97,-5.906
PRJ-0305,Roads & Highways,Chhattisgarh,648.65,2026-02-13,2033-11-13,93,-15.76,-22.042,1.73,-5.836
PRJ-0306,Railways,Andhra Pradesh,2245.01,2026-02-12,2030-11-12,57,9.386,-3.734,37.14,-5.906
PRJ-0307,Roads & Highways,Manipur,415.48,2026-02-07,2035-09-07,115,-23.318,-34.668,1.73,-11.403
PRJ-0308,Urban Public Transport,Telangana,13680.52,2026-02-12,2034-02-12,96,-10.168,-22.597,5.8,-9.117
PRJ-0309,Roads & Highways,Odisha,1075.76,2026-02-10,2034-05-10,99,6.319,-14.368,1.73,-4.448
PRJ-0310,Railways,Uttar Pradesh,605.52,2026-02-26,2035-10-26,116,13.206,2.185,37.14,-3.086
PRJ-0311,Roads & Highways,Telangana,1112.64,2026-02-09,2032-05-09,75,-1.449,-22.597,1.73,-9.117
PRJ-0312,Roads & Highways,Gujarat,243.02,2026-02-28,2029-09-28,43,4.828,8.533,1.73,-3.068
PRJ-0313,Roads & Highways,Jammu & Kashmir,1027.17,2026-02-19,2032-10-19,80,-18.346,-30.598,1.73,-8.146
PRJ-0314,Railways,Kerala,1094.74,2026-02-04,2035-07-04,113,-4.467,-26.921,37.14,-8.051
PRJ-0315,Roads & Highways,Mizoram,3018.06,2026-02-03,2028-10-03,32,-34.732,-45.063,1.73,-10.188
PRJ-0316,Logistics Infrastructure,Karnataka,555.4,2026-02-03,2028-09-03,31,-9.864,-17.416,0.0,-5.504
PRJ-0317,Roads & Highways,Sikkim,934.58,2026-02-13,2034-05-13,99,-21.259,-36.961,1.73,-13.156
